Tournament_id_female,Tournament_id_male,Tournament,City,Year,Level,Male/Female, Prize Pool Male , Prize Pool Female , Prize Male Winner , Prize Female Winner ,Attendance Tournament,Viewership Male Final,Viewership Female Final,Nr. Of Players
,,Shanghai_Masters,Shanghai,2015,Masters,Male," € 4,100,000.00 ",," € 760,000.00 ",,170000,2400000,,56
,,Acapulco,Acapulco,2015,ATP_500,Male," € 1,200,000.00 ",," € 316,000.00 ",,65000,1700000,,32
,,Vienna_Open,Vienna,2015,ATP_500,Male," € 1,746,000.00 ",," € 439,000.00 ",,55000,1600000,,32
,,Basel_Open,Basel,2015,ATP_500,Male," € 1,993,000.00 ",," € 401,000.00 ",,71000,1800000,,32
,,Beijing_Open,Beijing,2015,ATP_500,Male," € 2,700,000.00 ",," € 500,000.00 ",,185000,2700000,,32
,,Hamburg_Open,Hamburg,2015,ATP_500,Male," € 1,407,000.00 ",," € 275,000.00 ",,68000,1500000,,48
,,London_Open,London,2015,ATP_500,Male," € 1,840,000.00 ",," € 381,000.00 ",,63000,1800000,,32
,,Halle_Open,Halle,2015,ATP_500,Male," € 1,574,000.00 ",," € 354,000.00 ",,108000,1800000,,32
,,Rio_De_Janeiro,Rio De Janeiro,2015,ATP_500,Male," € 1,460,000.00 ",," € 310,000.00 ",,57000,1300000,,32
,,Rotterdam_Open,Rotterdam,2015,ATP_500,Male," € 1,620,000.00 ",," € 358,000.00 ",,108000,1700000,,32
,,Dubai_Duty_Free_Open,Dubai,2015,ATP_500,Male," € 2,130,000.00 ",," € 480,000.00 ",,100000,2000000,,32
,,Barcelona_Open,Barcelona,2015,ATP 500,Male," € 2,324,000.00 ",," € 350,000.00 ",,107000,1800000,,48
,,Seoul_Open,Seoul,2015,WTA_500,Female,," € 250,000.00 ",," € 43,000.00 ",42000,,650000,32
,,Monterrey_Open,Monterrey,2015,WTA_500,Female,," € 250,000.00 ",," € 43,000.00 ",36000,,520000,32
